Patient ID,Patient Name,Species,Last Seen,Booster Due,Weight (kg)
BR-04100,Pippin,Cat,2026-08-14,2027-05-09,3.4
BR-04107,Nutmeg,Dog,2026-08-11,2027-05-01,54.1
BR-04114,Bramble,Cat,2026-08-06,2027-05-04,42.5
BR-04121,Otto,Dog,2026-08-04,2027-05-09,3.3
BR-04128,Saffron,Cat,2026-07-27,2027-04-11,16.9
BR-04135,Dexter,Cat,2026-07-23,2027-04-10,46.7
BR-04142,Juniper,Cat,2026-07-17,2027-04-08,2.6
BR-04149,Bruno II,Dog,2026-07-14,2027-04-09,16.6
BR-04156,Clover,Cat,2026-07-05,2027-04-08,57
BR-04163,Milo,Cat,2026-06-30,2027-03-11,19.6
BR-04170,Hazel,Dog,2026-06-26,2027-03-01,48.5
BR-04177,Ziggy II,Dog,2026-06-19,2027-03-01,26.4
BR-04184,Marlowe,Ferret,2026-06-17,2027-03-08,47.5
BR-04191,Poppy,Dog,2026-06-11,2027-03-02,55.5
BR-04198,Rufus,Ferret,2026-06-08,2027-03-10,16.1
BR-04205,Ivy,Dog,2026-05-31,2027-03-11,46.3
BR-04212,Tobias,Dog,2026-05-26,2027-02-05,50.2
BR-04219,Willow,Cat,2026-05-23,2027-02-05,47.1
BR-04226,Frankie II,Rabbit,2026-05-18,2027-02-02,48.8
BR-04233,Maud,Rabbit,2026-05-16,2027-02-06,27.3
BR-04240,Barnaby,Dog,2026-05-08,2027-02-02,35.2
BR-04247,Suki,Cat,2026-05-04,2027-02-07,33.1
BR-04254,Alfie,Cat,2026-04-28,2027-01-11,27.3
BR-04261,Noor,Cat,2026-04-25,2027-01-08,7.3
BR-04268,Pippin,Dog,2026-04-16,2027-01-11,21.6
BR-04275,Nutmeg II,Dog,2026-04-11,2027-01-08,25.5
BR-04282,Bramble,Dog,2026-04-07,2027-01-01,41
BR-04289,Otto,Cat,2026-03-31,2026-12-06,22.9
BR-04296,Saffron,Cat,2026-03-29,2026-12-06,20.6
BR-04303,Dexter,Cat,2026-03-23,2026-12-01,39.3
BR-04310,Juniper,Cat,2026-02-30,2026-12-06,41.4
BR-04317,Bruno,Dog,2026-03-12,2026-12-03,34.4
BR-04324,Clover II,Dog,2026-03-07,2026-12-08,36
BR-04331,Milo,Rabbit,2026-03-04,2026-12-10,27.5
BR-04338,Hazel II,Dog,2026-02-27,2026-11-04,15.3
BR-04345,Ziggy,Dog,2026-02-25,2026-11-11,57.1
BR-04352,Marlowe,Dog,2026-02-17,2026-11-06,57
BR-04359,Poppy II,Cat,2026-02-13,2026-11-05,35.2
BR-04366,Rufus,Cat,2026-02-07,2026-11-04,5.6
BR-04373,Ivy,Dog,2026-02-04,2026-11-06,48.1
BR-04380,Tobias,Ferret,2026-01-26,2026-10-02,42.7
BR-04387,Willow,Dog,2026-01-21,2026-10-01,11.9
BR-04394,Frankie,Dog,2026-01-17,2026-10-08,26.8
BR-04401,Maud,Cat,12/01/2026,10/10/2026,18.8
BR-04408,Barnaby,Dog,08.01.2026,02/10/2026,19.2
BR-04415,Suki,Cat,05/01/2026,07/10/2026,23.2
BR-04422,Alfie II,Dog,02/01/2026,,27.9
BR-04429,Noor,Dog,11/12/2025,09/09/2026,31.3
BR-04436,Pippin,Dog,09/12/2025,04/09/2026,8.5
BR-04443,Nutmeg,Dog,28/11/2025,06/09/2026,42.3
BR-04450,Bramble,Dog,16/11/2025,04/08/2026,25.1
BR-04457,Otto,Dog,07/11/2025,11/08/2026,21.2
BR-04464,Saffron II,Ferret,02/11/2025,04/08/2026,15.8
BR-04471,Dexter,Cat,20251029,08/07/2026,36.7
BR-04478,Juniper,Rabbit,22/10/2025,07/07/2026,11.3
BR-04485,Bruno,Dog,20/10/2025,03/07/2026,57.3
BR-04492,Clover,Dog,14/10/2025,02/07/2026,1.5
BR-04499,Milo,Cat,11 Oct 2025,"Jul 5, 2026",40.3
BR-04506,Hazel,Rabbit,03/10/2025,05/07/2026,36.9
BR-04513,Ziggy,Cat,28/09/2025,10/06/2026,30.8
BR-04520,Marlowe II,Dog,25/09/2025,09/06/2026,44.4
BR-04527,Poppy II,Dog,20/09/2025,03/04/26,6.2
BR-04534,Rufus,Cat,18/09/2025,12/06/2026,53.2
BR-04541,Ivy,Dog,10/09/2025,07/06/2026,5.6
BR-04548,Tobias,Dog,06/09/2025,08/06/2026,2.7
BR-04555,Willow II,Rabbit,31/08/2025,09/05/2026,11.1
BR-04562,Frankie II,Rabbit,28/08/2025,,30.6
BR-04569,Maud,Dog,19/08/2025,06/05/2026,16.9
BR-04576,Barnaby,Dog,14/08/2025,09/05/2026,19
BR-04583,Suki,Ferret,10/08/2025,01/05/2026,56.7
BR-04590,Alfie II,Dog,03/08/2025,09/05/2026,19.7
BR-04597,Noor,Cat,01/08/2025,11/05/2026,5.1
BR-04604,Pippin,Dog,26/07/2025,09/04/2026,28
BR-04611,Nutmeg,Dog,23/07/2025,06/04/2026,42.5
BR-04618,Bramble,Cat,15/07/2025,05/04/2026,1.5
BR-04625,Otto,Rabbit,10/07/2025,05/04/2026,32.5
BR-04632,Saffron,Dog,07/07/2025,04/04/2026,16.8
BR-04639,Dexter,Cat,02/07/2025,02/04/2026,50.7
BR-04646,Juniper II,Dog,30/06/2025,06/03/2026,54.8
BR-04653,Bruno,Dog,22/06/2025,03/03/2026,7.8
BR-04660,Clover,Dog,18/06/2025,02/03/2026,48.6
BR-04667,Milo,Dog,12/06/2025,08/03/2026,37.2
BR-04674,Hazel,Dog,09/06/2025,06/03/2026,44.7
BR-04681,Ziggy,Dog,31/05/2025,,29.4
BR-04688,Marlowe,Cat,26/05/2025,05/02/2026,35.5
BR-04695,Poppy,Dog,22/05/2025,09/02/2026,15.4
BR-04702,Rufus II,Cat,15/05/2025,09/02/2026,52.5
BR-04709,Ivy,Dog,13/05/2025,04/02/2026,7.5
BR-04716,Tobias,Dog,07/05/2025,04/02/2026,52.5
BR-04723,Willow,Dog,04/05/2025,07/02/2026,34.1
BR-04730,Frankie,Rabbit,26/04/2025,10/01/2026,22.2
BR-04737,Maud,Dog,21/04/2025,09/01/2026,35.4
BR-04744,Barnaby,Cat,18/04/2025,03/01/2026,44.7
BR-04751,Suki,Dog,13/04/2025,03/01/2026,38.9
BR-04758,Alfie II,Dog,11/04/2025,07/01/2026,40
BR-04765,Noor,Rabbit,03/04/2025,06/01/2026,21.9
BR-04772,Pippin,Dog,30/03/2025,02/12/2025,8.3
BR-04779,Nutmeg II,Cat,24/03/2025,02/12/2025,21.6
BR-04786,Bramble II,Rabbit,21/03/2025,04/12/2025,18
BR-04793,Otto,Dog,12/03/2025,04/12/2025,30.8
BR-04800,Saffron,Dog,07/03/2025,02/12/2025,44.3
BR-04807,Dexter,Cat,03/03/2025,03/12/2025,26.7
BR-04814,Juniper,Dog,24/02/2025,07/11/2025,53.6
BR-04821,Bruno,Dog,22/02/2025,02/11/2025,56.8
BR-04828,Clover,Cat,16/02/2025,12/11/2025,22.9
BR-04835,Milo,Ferret,13/02/2025,03/11/2025,20
BR-04842,Hazel,Rabbit,05/02/2025,04/11/2025,6.8
BR-04849,Ziggy,Dog,31/01/2025,12/10/2025,38.1
BR-04856,Marlowe,Dog,28/01/2025,01/10/2025,9.4
BR-04863,Poppy,Dog,23/01/2025,03/10/2025,12.1
BR-04870,Rufus,Cat,21/01/2025,05/10/2025,3.6
BR-04877,Ivy,Dog,13/01/2025,11/10/2025,29.6
BR-04884,Tobias,Dog,09/01/2025,07/10/2025,44.1
BR-04891,Willow,Dog,03/01/2025,11/10/2025,0.8
BR-04898,Frankie,Cat,31/12/2024,11/10/2025,15.8
BR-04905,Maud,Dog,22/12/2024,08/09/2025,33.9
BR-04912,Barnaby,Cat,17/12/2024,08/09/2025,56.6
BR-04919,Suki II,Rabbit,13/12/2024,05/09/2025,49.1
BR-04926,Alfie II,Cat,06/12/2024,12/09/2025,12.7
BR-04933,Noor II,Dog,04/12/2024,11/09/2025,26.8
BR-04940,Pippin,Dog,28/11/2024,11/08/2025,10.2
BR-04947,Nutmeg,Dog,25/11/2024,06/08/2025,54
BR-04954,Bramble,Dog,17/11/2024,04/08/2025,31.3
BR-04961,Otto,Dog,12/11/2024,11/08/2025,14.5
BR-04968,Saffron,Rabbit,09/11/2024,05/08/2025,40.5
BR-04975,Dexter,Cat,04/11/2024,05/08/2025,2.1
BR-04982,Juniper,Dog,02/11/2024,07/08/2025,18.1
BR-04989,Bruno,Cat,25/10/2024,03/07/2025,20.6
