Delivery no.,Supplier name,Carrier name,Pallets received,Gross weight (kg),Slot date,Dock,Load status,Booking contact email
AG-0001,Tarnwick Packaging Ltd,Marden Freight,28,16162.76,2026-09-19,Dock 1,Booked,bookings@tarnwickpackagin.example
AG-0002,Beckhurst Coatings PLC,Delwyn Logistics,27,14327.37,2026-10-24,Dock 2,Booked,bookings@beckhurstcoating.example
AG-0003,Colwyn Insulation Group,Marden Freight,3,15401.2,2027-01-26,Dock 1,Unloaded,bookings@colwyninsulation.example
AG-0004,Drayfold Adhesives Works,Marden Freight,26,17317.48,2027-02-23,Dock 2,Booked,bookings@drayfoldadhesive.example
AG-0005,Elverton Seals LLP,Ravenhill Haulage,7,15172.12,2026-10-17,Dock 2,Arrived,bookings@elvertonsealsllp.example
AG-0006,Fossgate Timber Supplies,Delwyn Logistics,27,17960.11,2027-02-18,Dock 1,Booked,bookings@fossgatetimbersu.example
AG-0007,Grindale Textiles Ltd,Ravenhill Haulage,28,351.08,2026-11-13,Dock 2,Unloaded,bookings@grindaletextiles.example
AG-0008,Halverne Glassworks PLC,Delwyn Logistics,22,17602.38,2026-12-19,Dock 1,Unloaded,bookings@halverneglasswor.example
AG-0009,Inglebrook Abrasives Group,Marden Freight,32,17569.39,2026-10-25,Dock 2,Unloaded,bookings@inglebrookabrasi.example
AG-0010,Jarrowmere Bearings Works,Marden Freight,30,10244.96,2026-11-26,Dock 1,Arrived,bookings@jarrowmerebearin.example
AG-0011,Kelsall Fasteners LLP,Copsey Transport,27,2505.81,2027-02-15,Dock 3,Arrived,bookings@kelsallfasteners.example
AG-0012,Lindholme Castings Supplies,Delwyn Logistics,16,10102.27,2026-11-18,Dock 1,Arrived,bookings@lindholmecasting.example
AG-0013,Marfield Packaging Ltd,Copsey Transport,18,10881.88,2026-12-15,Dock 2,Unloaded,bookings@marfieldpackagin.example
AG-0014,Nethercote Coatings PLC,Copsey Transport,16,17261.91,2026-12-14,Dock 1,Booked,bookings@nethercotecoatin.example
AG-0015,Orrell Insulation Group,Delwyn Logistics,13,808.55,2026-10-22,Dock 2,Booked,bookings@orrellinsulation.example
AG-0016,Pelsham Adhesives Works,Ravenhill Haulage,3,15168.71,2026-11-22,Dock 2,Booked,bookings@pelshamadhesives.example
AG-0017,Quarnby Seals LLP,Delwyn Logistics,21,10207.03,2026-11-27,Dock 2,Booked,bookings@quarnbysealsllp.example
AG-0018,Redmoss Timber Supplies,Marden Freight,8,18035.4,2026-11-24,Dock 2,Booked,bookings@redmosstimbersup.example
AG-0019,Skelbrook Textiles Ltd,Ravenhill Haulage,20,1392.92,2026-09-23,Dock 2,Booked,bookings@skelbrooktextile.example
AG-0020,Thurlow Glassworks PLC,Delwyn Logistics,26,10153.08,2026-09-13,Dock 1,Booked,bookings@thurlowglasswork.example
AG-0021,Uldale Abrasives Group,Copsey Transport,7,19310.13,2027-02-19,Dock 1,Booked,bookings@uldaleabrasivesg.example
AG-0022,Vernham Bearings Works,Delwyn Logistics,6,12100.07,2026-11-22,Dock 2,Arrived,bookings@vernhambearingsw.example
AG-0023,Westhorpe Fasteners LLP,Ravenhill Haulage,4,10947.76,2026-09-20,Dock 3,Arrived,bookings@westhorpefastene.example
AG-0024,Yarborne Castings Supplies,Delwyn Logistics,4,15808.44,2026-10-14,Dock 1,Booked,bookings@yarbornecastings.example
AG-0025,Tarnwick Packaging Ltd,Marden Freight,6,13709.59,2026-11-26,Dock 2,Booked,bookings@tarnwickpackagin.example
AG-0026,Beckhurst Coatings PLC,Copsey Transport,8,7077.3,2026-11-21,Dock 1,Booked,bookings@beckhurstcoating.example
AG-0027,Colwyn Insulation Group,Ravenhill Haulage,16,14419.89,2026-10-21,Dock 2,Booked,bookings@colwyninsulation.example
AG-0028,Drayfold Adhesives Works,Ravenhill Haulage,25,5236.11,2027-01-16,Dock 1,Booked,bookings@drayfoldadhesive.example
AG-0029,Elverton Seals LLP,Copsey Transport,21,3870.01,2027-02-18,Dock 1,Unloaded,bookings@elvertonsealsllp.example
AG-0030,Fossgate Timber Supplies,Ravenhill Haulage,9,6112.7,2027-01-22,Dock 2,Booked,bookings@fossgatetimbersu.example
AG-0031,Grindale Textiles Ltd,Delwyn Logistics,20,4159.64,2026-11-16,Dock 1,Unloaded,bookings@grindaletextiles.example
AG-0032,Halverne Glassworks PLC,Copsey Transport,5,2006.13,2026-09-21,Dock 2,Arrived,bookings@halverneglasswor.example
AG-0033,Inglebrook Abrasives Group,Delwyn Logistics,30,8010.4,2026-12-25,Dock 2,Arrived,bookings@inglebrookabrasi.example
AG-0034,Jarrowmere Bearings Works,Copsey Transport,2,440.92,2027-01-25,Dock 1,Booked,bookings@jarrowmerebearin.example
AG-0035,Kelsall Fasteners LLP,Ravenhill Haulage,32,12129.41,2027-02-27,Dock 1,Booked,bookings@kelsallfasteners.example
AG-0036,Lindholme Castings Supplies,Copsey Transport,4,8416.85,2026-11-23,Dock 1,Booked,bookings@lindholmecasting.example
AG-0037,Marfield Packaging Ltd,Delwyn Logistics,24,4084.81,2026-10-26,Dock 2,Unloaded,bookings@marfieldpackagin.example
AG-0038,Nethercote Coatings PLC,Ravenhill Haulage,16,6237.09,2026-11-15,Dock 2,Booked,bookings@nethercotecoatin.example
