Date,Transaction Type,No.,Memo/Description,Account No.,Account,Debit,Credit,Created By,Created
01/01/2025,Deposit,1026,Bank deposit 4253,1010,Cash and cash equivalents:Operating account,571.72,,s.pettersen,01/01/2025 2:02:37 PM
,,,Bank deposit 4253,2400,Deferred revenue,,571.72,,
01/01/2025,Journal Entry,1039,Payroll journal,6010,Salaries and wages,"43,958.73",,d.okonkwo,01/01/2025 2:47:25 PM
,,,Payroll journal,6020,Employee benefits,"3,956.29",,,
,,,Payroll journal,2150,Payroll liabilities:Withholding,,"10,550.10",,
,,,Payroll journal,2160,Payroll liabilities:Pension,,"2,197.94",,
,,,Payroll journal,01020,Cash and cash equivalents:Payroll account,,"35,166.98",,
01/01/2025,Invoice,1047,Progress billing 4294,1200,Accounts receivable,787.13,,System Administrator,01/01/2025 7:10:13 AM
,,,Progress billing 4294,4020,Revenue:Services,,655.94,,
,,,Progress billing 4294,2100,Sales tax payable,,131.19,,
01/02/2025,Transfer,1006,Transfer between bank accounts,1020,Cash and cash equivalents:Payroll account,"5,360.53",,a.varga,01/02/2025 3:06:38 PM
,,,Transfer between bank accounts,1010,Cash and cash equivalents:Operating account,,"5,360.53",,
01/02/2025,Deposit,1031,Bank deposit 4263,1010,Cash and cash equivalents:Operating account,"6,543.86",,d.okonkwo,01/02/2025 11:50:42 AM
,,,Bank deposit 4263,2400,Deferred revenue,,"6,543.86",,
01/02/2025,Journal Entry,1043,Prepaid release,6200,Professional fees,"1,384.75",,d.okonkwo,01/02/2025 7:04:40 PM
,,,Prepaid release,1410,Prepaid expenses:Software subscriptions,,"1,384.75",,
01/02/2025,Bill,1065,Supplier invoice 4332,5020,Cost of sales:Freight,"2,616.55",,m.laurent,01/02/2025 4:59:22 PM
,,,Supplier invoice 4332,2010,Accounts payable,,"2,616.55",,
01/02/2025,Journal Entry,1069,Prepaid release,6200,Professional fees,640.67,,m.laurent,01/02/2025 11:31:57 PM
,,,Prepaid release,1410,Prepaid expenses:Software subscriptions,,640.67,,
01/03/2025,Sales Receipt,1011,Licence renewal 4221,1010,Cash and cash equivalents:Operating account,"3,719.65-",,s.pettersen,01/03/2025 3:17:45 PM
,,,Licence renewal 4221,4010,Revenue:Product,,"3,099.71-",,
,,,Licence renewal 4221,2100,Sales tax payable,,619.94-,,
01/03/2025,Bill,1021,Supplier invoice 4243,5010,Cost of sales:Materials,"10,460.80",,m.laurent,01/03/2025 10:54:16 PM
,,,Supplier invoice 4243,2010,Accounts payable,,"10,460.80",,
01/03/2025,Payment,1027,Customer payment 4255,1010,Cash and cash equivalents:Operating account,"10,762.37",,System Administrator,01/03/2025 1:06:03 AM
,,,Customer payment 4255,1200,Accounts receivable,,"10,762.37",,
01/04/2025,Vendor Credit,1024,Supplier credit 4250,2010,Accounts payable,"1,923.08",,d.okonkwo,01/04/2025 1:41:20 PM
,,,Supplier credit 4250,5020,Cost of sales:Freight,,"1,923.08",,
01/05/2025,Bill,1030,Reimbursement 4260,6200,Professional fees,"3,228.16",,a.varga,01/05/2025 12:50:12 PM
,,,Reimbursement 4260,2010,Accounts payable,,"3,228.16",,
01/05/2025,Deposit,1048,Bank deposit 4296,1010,Cash and cash equivalents:Operating account,"1,727.59",,d.okonkwo,01/05/2025 4:27:07 AM
,,,Bank deposit 4296,2400,Deferred revenue,,"1,727.59",,
01/05/2025,Payment,1061,Customer payment 4322,1010,Cash and cash equivalents:Operating account,"1,614.40",,a.varga,01/05/2025 12:40:06 PM
,,,Customer payment 4322,1200,Accounts receivable,,"1,614.40",,
01/05/2025,Bill,1066,Supplier invoice 4333,6200,Professional fees,"9,980.30",,s.pettersen,01/05/2025 5:59:18 AM
,,,Supplier invoice 4333,2010,Accounts payable,,"9,980.30",,
01/06/2025,Bill Payment (Check),1008,Payment to supplier 4217,2010,Accounts payable,"3,819.51",,System Administrator,01/06/2025 9:46:17 AM
,,,Payment to supplier 4217,1010,Cash and cash equivalents:Operating account,,"3,819.51",,
