Cat. no.,Author,Title,Lang,Price (EUR),Shelf
CB-0208,"Достоевский, Фёдор",Записки из подполья,ru,€27.00,D1
CB-0211,"Ōe, Kenzaburō",The Silent Cry,en,€33.00,C4
CB-0215,"Čapek, Karel",Válka s mloky,cs,€21.80,A1
CB-0219,"Woolf, Virginia",The Waves,en,€15.00,C1
CB-0223,"Fauré, Gabriel",Lettres à ses éditeurs,fr,€45.00,B4
CB-0227,"Calvino, Italo",Le città invisibili,it,€19.90,C3
CB-0231,"Sebald, W. G.",Die Ausgewanderten,de,€23.50,A4
CB-0236,JosÃ© Ãlvarez,Cartas de invierno,es,€13.40,B1
CB-0240,"Akhmatova, Anna",Реквием,ru,€29.00,D1
CB-0244,"Szymborska, Wisława",Widok z ziarnkiem piasku,pl,€20.00,D3
CB-0249,"Ferrante, Elena",L’amica geniale,it,€16.80,C3
CB-0253,"Krúdy, Gyula",Szindbád ifjúsága,hu,€25.60,D4
CB-0257,"Bâ, Mariama",Une si longue lettre,fr,€18.00,B2
CB-0261,"Tanizaki, Jun’ichirō",In Praise of Shadows,en,€22.50,C4
