Cat. no.,Author,Title,Lang,Price (EUR),Shelf
CB-0104,"Böll, Heinrich",Ansichten eines Clowns,de,€18.50,A3
CB-0107,"Márquez, Gabriel García",El coronel no tiene quien le escriba,es,€22.00,B1
CB-0112,Colette,Le Blé en herbe,fr,€14.75,B2
CB-0118,"Hašek, Jaroslav",Osudy dobrého vojáka Švejka,cs,€26.40,A1
CB-0121,"O’Brien, Flann",The Third Policeman,en,€19.00,C2
CB-0126,"Ibáñez, Vicente Blasco",Cañas y barro,es,€16.20,B1
CB-0130,"?e, Kenzabur?",A Personal Matter,en,€31.00,C4
CB-0134,"Strindberg, August",Fröken Julie,sv,€12.90,D2
CB-0139,"Éluard, Paul",Capitale de la douleur,fr,€28.00,B2
CB-0142,"Süskind, Patrick",Das Parfum,de,€11.50,A3
CB-0147,"Zweig, Stefan",Die Welt von Gestern,de,€24.00,A4
CB-0151,"Undset, Sigrid",Kransen,no,€17.30,D1
