Vehicle #,Reg,Make/Model,Odo,In Service,Home Depot,Home Depot
FL-0001,LS24 TBK,Mercedes Sprinter 315,21 759,08/11/2025,East,DEP-E
FL-0002,LS19 SOK,Renault Trafic SL28,15 217,29/01/2024,East,DEP-E
FL-0003,MK18 WVT,Renault Trafic SL28,229 850,06/08/2023,East,DEP-E
FL-0004,BX17 ESG,Ford Transit Custom 300,162 995,21/07/2023,Wakefield,DEP-WF
FL-0005,MK24 WHJ,Mercedes Sprinter 315,20 090,25/01/2025,North,DEP-N
FL-0006,SN16 LWY,Vauxhall Vivaro 2900,196 856,23/08/2022,South,DEP-S
FL-0007,LT25 SYU,Ford Transit Custom 300,192 785,31/07/2021,Wakefield,DEP-WF
FL-0008,MK25 LJV,Ford Transit Custom 300,187 511,08/05/2021,East,DEP-E
FL-0009,BX25 DVN,Peugeot Boxer 335,117 759,18/01/2022,South,DEP-S
FL-0010,YA17 OLM,Mercedes Sprinter 317,137 597,26/09/2019,South,DEP-S
FL-0011,PE20 LUO,Ford Transit 350,81 205,22/09/2019,Wakefield,DEP-WF
FL-0012,YA16 HPK,Mercedes Sprinter 315,29 415,02/11/2018,East,DEP-E
FL-0013,SN21 LJX,Vauxhall Vivaro 2900,114 993,01/02/2021,Wakefield,DEP-WF
FL-0014,LS16 REV,Mercedes Sprinter 317,171 648,24/07/2021,North,DEP-N
FL-0015,LT21 BAR,Vauxhall Vivaro 2900,56 912,11/06/2025,East,DEP-E
FL-0016,SN16 AFF,Vauxhall Vivaro 2900,51 175,29/07/2025,Wakefield,DEP-WF
FL-0017,SN19 MYD,Mercedes Sprinter 317,94 780,05/03/2023,East,DEP-E
FL-0018,LS19 BMD,Mercedes Sprinter 317,199 331,31/07/2023,Wakefield,DEP-WF
FL-0019,BX23 GCA,Ford Transit Custom 300,194 027,04/08/2019,East,DEP-E
FL-0020,SN24 MHH,Ford Transit Custom 300,80 349,18/01/2021,South,DEP-S
FL-0021,SN16 CLR,Ford Transit Custom 300,130 224,04/04/2024,South,DEP-S
FL-0022,LT23 FSF,Mercedes Sprinter 315,72 839,27/09/2021,East,DEP-E
FL-0023,LT24 JAY,Mercedes Sprinter 315,66 546,09/07/2020,East,DEP-E
FL-0024,WF22 EVO,Ford Transit Custom 300,111 138,29/11/2019,North,DEP-N
FL-0025,PE19 DBA,Mercedes Sprinter 317,131 620,24/11/2023,Wakefield,DEP-WF
FL-0026,PE19 PUR,Renault Trafic SL28,128 254,24/07/2018,North,DEP-N
FL-0027,LS23 AEC,Peugeot Boxer 335,136 273,12/11/2025,Wakefield,DEP-WF
FL-0028,YA16 NCJ,Mercedes Sprinter 315,155 919,21/07/2018,North,DEP-N
FL-0029,PE23 EDV,Mercedes Sprinter 317,229 659,23/01/2020,South,DEP-S
FL-0030,YA19 DSH,Vauxhall Vivaro 2900,232 889,10/08/2018,Wakefield,DEP-WF
FL-0031,BX18 RHH,Renault Trafic SL28,216 323,23/11/2018,Wakefield,DEP-WF
FL-0032,BX22 LTC,Mercedes Sprinter 315,176 317,10/03/2025,South,DEP-S
FL-0033,SN16 EXK,Mercedes Sprinter 317,175 644,17/05/2021,North,DEP-N
FL-0034,YA18 NCW,Ford Transit Custom 300,87 905,20/04/2022,Wakefield,DEP-WF
FL-0035,YA16 FCU,Ford Transit Custom 300,37 778,28/01/2025,South,DEP-S
FL-0036,YA22 PFK,Mercedes Sprinter 317,185 487,11/04/2024,South,DEP-S
FL-0037,WF24 MJO,Mercedes Sprinter 315,18 003,31/10/2023,North,DEP-N
FL-0038,BX23 SWH,Ford Transit 350,71 965,26/03/2019,Wakefield,DEP-WF
FL-0039,LT18 WTC,Mercedes Sprinter 317,141 831,03/02/2022,Wakefield,DEP-WF
FL-0040,MK19 WGS,Vauxhall Vivaro 2900,182 506,16/09/2024,North,DEP-N
FL-0041,MK18 MER,Ford Transit 350,109 272,10/07/2022,East,DEP-E
FL-0042,YA24 KJR,Mercedes Sprinter 315,37 148,04/05/2019,North,DEP-N
FL-0043,MK17 JAV,Mercedes Sprinter 315,75 637,31/07/2024,South,DEP-S
FL-0044,YA21 UAC,Renault Trafic SL28,160 104,05/04/2023,North,DEP-N
FL-0045,SN24 CMX,Vauxhall Vivaro 2900,81 602,29/04/2019,Wakefield,DEP-WF
FL-0046,WF21 YJO,Peugeot Boxer 335,56 728,05/01/2021,Wakefield,DEP-WF
FL-0047,PE19 CUK,Peugeot Boxer 335,158 014,09/04/2023,South,DEP-S
FL-0048,BX17 LLE,Ford Transit Custom 300,71 722,09/03/2024,South,DEP-S
FL-0049,BX18 JVM,Mercedes Sprinter 315,18 245,09/05/2022,East,DEP-E
FL-0050,WF19 VAM,Vauxhall Vivaro 2900,213 979,31/05/2020,North,DEP-N
FL-0051,LT21 OGU,Vauxhall Vivaro 2900,234 261,17/11/2018,East,DEP-E
FL-0052,SN24 ARX,Ford Transit Custom 300,22 144,07/02/2020,East,DEP-E
FL-0053,SN21 LWD,Renault Trafic SL28,98 197,15/09/2021,Wakefield,DEP-WF
FL-0054,YA16 GNK,Ford Transit Custom 300,206 719,24/03/2020,South,DEP-S
FL-0055,PE19 RNN,Mercedes Sprinter 315,10 318,05/08/2022,North,DEP-N
FL-0056,WF19 RNE,Mercedes Sprinter 315,17 018,02/05/2021,Wakefield,DEP-WF
FL-0057,PE20 WPU,Ford Transit 350,146 380,30/04/2026,East,DEP-E
FL-0058,BX23 AOW,Mercedes Sprinter 317,196 492,19/05/2024,Wakefield,DEP-WF
FL-0059,YA25 LCA,Ford Transit Custom 300,182 430,14/04/2022,Wakefield,DEP-WF
FL-0060,WF23 VUM,Ford Transit Custom 300,162 922,24/11/2020,East,DEP-E
FL-0061,LT22 GBP,Mercedes Sprinter 317,196 700,27/02/2021,Wakefield,DEP-WF
FL-0062,LS20 SWH,Peugeot Boxer 335,47 810,31/05/2018,East,DEP-E
FL-0063,LT24 CCU,Ford Transit Custom 300,141 142,02/04/2026,South,DEP-S
FL-0064,BX22 OYH,Mercedes Sprinter 317,155 786,22/07/2021,Wakefield,DEP-WF
FL-0065,SN25 UEX,Vauxhall Vivaro 2900,67 588,09/02/2020,Wakefield,DEP-WF
FL-0066,YA16 TKK,Ford Transit Custom 300,11 165,16/01/2024,East,DEP-E
FL-0067,YA22 MHH,Mercedes Sprinter 317,67 528,10/06/2025,East,DEP-E
FL-0068,LT22 CBY,Renault Trafic SL28,101 621,27/06/2020,North,DEP-N
FL-0069,MK24 VGK,Mercedes Sprinter 315,18 779,23/12/2024,Wakefield,DEP-WF
FL-0070,PE20 HWP,Renault Trafic SL28,66 423,14/03/2020,East,DEP-E
FL-0071,SN20 AOM,Renault Trafic SL28,152 850,07/05/2024,South,DEP-S
FL-0072,WF25 NEJ,Ford Transit 350,224 779,02/05/2020,East,DEP-E
FL-0073,MK18 BUM,Peugeot Boxer 335,167 929,24/11/2018,Wakefield,DEP-WF
FL-0074,BX25 PSS,Peugeot Boxer 335,214 592,24/04/2020,East,DEP-E
FL-0075,SN17 KBN,Ford Transit 350,24 589,20/03/2022,Wakefield,DEP-WF
FL-0076,LS20 SUL,Mercedes Sprinter 315,164 164,14/11/2025,South,DEP-S
FL-0077,LS24 MER,Mercedes Sprinter 315,9 874,09/02/2021,South,DEP-S
