Tracking No,Return Reason,Received On
HL-000001,Damaged,2026-05-05
HL-000002,Damaged,2026-05-16
HL-000003,Refused,2026-04-09
HL-000004,Address error,2026-03-08
HL-000005,Refused,2026-02-10
HL-000006,Refused,2026-02-12
HL-000007,Refused,2026-03-06
HL-000008,Damaged,2026-06-24
HL-000009,Address error,2026-02-14
HL-000010,Damaged,2026-02-06
HL-000011,Refused,2026-04-08
HL-000012,Address error,2026-05-28
HL-000013,Damaged,2026-04-10
HL-000014,Refused,2026-04-17
HL-000015,Damaged,2026-04-19
HL-000016,Damaged,2026-06-10
HL-000017,Damaged,2026-05-21
HL-000018,Address error,2026-04-18
HL-000019,Address error,2026-05-25
HL-000020,Refused,2026-03-19
HL-000021,Damaged,2026-02-16
HL-000022,Damaged,2026-06-30
HL-000023,Refused,2026-04-02
HL-000024,Damaged,2026-04-08
HL-000025,Address error,2026-06-30
HL-000026,Damaged,2026-06-10
HL-000027,Damaged,2026-04-24
HL-000028,Refused,2026-02-27
HL-000029,Refused,2026-02-18
HL-000030,Damaged,2026-06-30
HL-000031,Address error,2026-03-01
HL-000032,Damaged,2026-06-24
HL-000033,Refused,2026-05-31
HL-000034,Refused,2026-04-08
HL-000035,Damaged,2026-04-04
HL-000036,Damaged,2026-05-17
HL-000037,Damaged,2026-05-24
HL-000038,Refused,2026-03-11
