Harbour Lane Logistics
Outbound shipments
Exported 2026-06-30

Tracking No,Ship Date,Destination Port,Carrier,Weight (kg),Pallet Count,Declared Value,Customs Ref
HL-000001,2026-01-03,Rotterdam,Maersk,265.75,14,19536.38,CR-00001
HL-000002,2026-02-13,Felixstowe,FedEx,98.27,5,36704.62,CR-00002
HL-000003,2026-02-05,Felixstowe,DHL,203.39,8,46944.06,CR-00003
HL-000004,2026-06-08,Rotterdam,DHL,59.1,8,26353.52,CR-00004
HL-000005,2026-01-14,Piraeus,UPS,236.37,18,46371.59,CR-00005
HL-000006,2026-06-16,Algeciras,DHL,66.81,10,20484.12,
HL-000007,2026-01-16,Gdansk,DHL,162.38,13,45425.07,CR-00007
HL-000008,2026-05-05,Rotterdam,DHL,53.09,4,43836.11,CR-00008
HL-000009,2026-02-04,Gdansk,DHL,16.96,18,44235.28,CR-00009
HL-000010,2026-05-30,Gdansk,Maersk,44.83,14,31202.07,CR-00010
HL-000011,2026-06-23,Algeciras,UPS,366.29,25,26385.45,CR-00011
HL-000012,2026-01-02,Felixstowe,DHL,,15,36289.33,CR-00012
HL-000013,2026-04-11,Algeciras,UPS,244.24,19,n/a,CR-00013
HL-000014,2026-02-12,Rotterdam,DHL,358.51,22,30313.2,
HL-000015,2026-04-23,Felixstowe,FedEx,378.05,8,47342.86,CR-00015
HL-000016,2026-05-26,Gdansk,FedEx,53.19,26,24391.89,CR-00016
HL-000017,2026-01-30,Felixstowe,DHL,309.22,23,35355.82,CR-00017
HL-000018,2026-06-29,Gdansk,FedEx,363.07,13,11121.55,CR-00018
HL-000019,2026-05-25,Algeciras,DHL,211.04,13,25287.92,CR-00019
HL-000020,2026-02-15,Felixstowe,UPS,65.25,1,8410.55,
HL-000021,2026-01-20,Algeciras,Maersk,23.22,5,19513.19,CR-00021
HL-000022,2026-05-13,Felixstowe,DHL,300.86,19,38429.47,CR-00022
HL-000023,2026-05-25,Felixstowe,UPS,111.49,14,37298.03,CR-00023
HL-000024,2026-02-15,Algeciras,FedEx,294.47,12,17208.95,CR-00024
HL-000025,2026-02-15,Felixstowe,UPS,315.58,11,46782.23,CR-00025
HL-000026,2026-03-20,Rotterdam,UPS,111.72,23,27519.75,CR-00026
HL-000027,2026-06-02,Felixstowe,UPS,265.24,24,26485.34,CR-00027
HL-000028,2026-01-30,Gdansk,DHL,231.85,22,18497.22,CR-00028
HL-000029,2026-01-17,Gdansk,FedEx,366.57,9,12551.47,
HL-000030,2026-05-11,Piraeus,FedEx,315.01,25,10965.35,CR-00030
HL-000031,2026-02-21,Felixstowe,DHL,271.27,20,29984.18,CR-00031
HL-000032,2026-04-23,Felixstowe,DHL,316.21,13,6814.68,CR-00032
HL-000033,2026-03-25,Felixstowe,UPS,337.5,25,7459.78,CR-00033
HL-000034,2026-02-21,Felixstowe,DHL,345.86,22,25501.84,CR-00034
