Product,Origin,Roast,SKU,Size,Grind,Unit price
Ndaro Peaberry,Kenya,Medium,MR-NDA-250-WB,250g,Whole bean,£16.00
Ndaro Peaberry,Kenya,Medium,MR-NDA-1KG-WB,1kg,Whole bean,£52.00
Ndaro Peaberry,Kenya,Med,MR-NDA-1KG-FL,1kg,Filter,£52.00
Ndaro Peaberry,Kenya,Medium,MR-NDA-5KG-WB,5kg,,£240.00
Marchmont Ndaro,Kenya,Medium,MR-NDA-250-ES,250g,Espresso,£16.00
Sela Wash,Ethiopia,Light,MR-SEL-250-WB,250g,Whole bean,"18,50 EUR"
Sela Wash,Ethiopia,Light,MR-SEL-1KG-WB,1kg,Whole bean,"58,00 EUR"
Sela Wash,Ethiopia,Light,MR-SEL-1KG-FL,1kg,Filter,"58,00 EUR"
Cerro Alto,Colombia,Medium-Dark,MR-CER-250-WB,250g,Whole bean,"1 250,00 CZK"
Cerro Alto,Colombia,Medium-Dark,MR-CER-1KG-ES,1kg,Espresso,"4 100,00 CZK"
Tarn Hollow Blend,Blend,Dark,MR-TAR-1KG-ES,1kg,Espresso,£49.00
Tarn Hollow Blend,Blend,Dark,MR-TAR-1KG-ES,1kg,Espresso,£49.00
