Stock code,Barcode,Bin,Description,Cost centre,Pack qty
00401,05012340000000,0123,Copper pipe 15mm x 3m,0115,30
00404,05012340000137,0142,Compression elbow 22mm,0240,26
00407,05012340000274,0020,Push-fit tee 15mm,0115,30
00410,05012340000411,0109,Solder ring coupler 28mm,0080,41
00413,05012340000548,0101,PTFE tape 12mm x 12m,0115,33
00416,05012340000685,0039,Speedfit stem elbow 10mm,0075,14
00419,05012340000822,0096,Brass gate valve 22mm,0080,28
422,05012340000959,0031,Push-fit tee 15mm,0115,28
00425,05012340001096,0101,"Pipe clip 15mm, bag of 50",0240,39
00428,05012340001233,0185,Isolating valve 15mm,0080,30
00431,05012340001370,0061,Waste trap bottle 40mm,0075,36
00434,05012340001507,0235,Compression stop end 28mm,0080,8
00437,5012340001644,0179,Copper pipe 22mm x 3m,0080,27
00440,05012340001781,0139,Reducing coupler 22-15mm,0240,8
00443,05012340001918,0204,Backnut 1/2 inch,0240,19
00446,05012340002055,0007,Tap connector 15mm x 1/2,0075,41
00449,05012340002192,0120,Radiator valve angled 15mm,0115,14
00452,05012340002329,0121,Chrome pipe cover 15mm,0115,5
00455,05012340002466,0155,Solvent cement 250ml,'0075,22
00458,05012340002603,0153,Overflow bend 21.5mm,0240,21
00461,05012340002740,0112,Copper pipe 15mm x 3m,0080,3
00464,05012340002877,0177,Compression elbow 22mm,0080,37
00467,05012340003014,0073,Push-fit tee 15mm,0115,17
00470,05012340003151,0203,Solder ring coupler 28mm,0075,7
00473,05012340003288,0152,PTFE tape 12mm x 12m,0115,7
00476,05012340003425,0089,Speedfit stem elbow 10mm,0080,45
00479,05012340003562,0205,Brass gate valve 22mm,0115,20
00482,05012340003699,0221,Flux paste 100g,0115,21
00485,05012340003836,0074,"Pipe clip 15mm, bag of 50",0115,1
00488,05012340003973,0212,Isolating valve 15mm,"=""0115""",20
00491,05012340004110,0030,Waste trap bottle 40mm,0075,36
00494,05012340004247,0131,Compression stop end 28mm,0115,6
00497,05012340004384,0135,Copper pipe 22mm x 3m,0115,43
00500,05012340004521,0231,Reducing coupler 22-15mm,0115,29
00503,05012340004658,42,Backnut 1/2 inch,0080,5
00506,05012340004795,0157,Tap connector 15mm x 1/2,0115,48
00509,05012340004932,0171,Radiator valve angled 15mm,0075,7
00512,05012340005069,0156,Chrome pipe cover 15mm,0240,17
00515,05012340005206,0223,Solvent cement 250ml,0080,37
00518,05012340005343,0157,Overflow bend 21.5mm,0075,14
00422,05012340005480,0160,Push-fit tee 15mm,0080,31
00524,05012340005617,0055,Compression elbow 22mm,0115,16
00527,05012340005754,0023,Push-fit tee 15mm,0115,19
00530,05012340005891,0044,Solder ring coupler 28mm,0240,45
00533,05012340006028,0181,PTFE tape 12mm x 12m,0075,21
00536,05012340006165,0205,Speedfit stem elbow 10mm,0115,34
00539,05012340006302,0151,Brass gate valve 22mm,0075,24
00542,05012340006439,0118,Flux paste 100g,0075,39
00545,05012340006576,0016,"Pipe clip 15mm, bag of 50",0075,48
00548,05012340006713,0148,Isolating valve 15mm,0115,40
00551,05012340006850,0221,Waste trap bottle 40mm,0240,3
00554,05012340006987,0041,Compression stop end 28mm,,20
00557,05012340007124,0101,Copper pipe 22mm x 3m,0115,3
00560,05012340007261,0015,Reducing coupler 22-15mm,0080,14
00563,05012340007398,0101,Backnut 1/2 inch,0115,20
00566,05012340007535,0082,Tap connector 15mm x 1/2,0115,19
00569,05012340007672,0235,Radiator valve angled 15mm,0080,22
00572,05012340007809,0059,Chrome pipe cover 15mm,0115,16
00575,05012340007946,0135,Solvent cement 250ml,0115,1
00578,05012340008083,0032,Overflow bend 21.5mm,0075,40
00581,05012340008220,0033,Copper pipe 15mm x 3m,0240,10
00584,05012340008357,0152,Compression elbow 22mm,0240,36
00587,05012340008494,0195,Push-fit tee 15mm,0075,5
00590,05012340008631,0179,Solder ring coupler 28mm,0075,6
00593,05012340008768,0083,PTFE tape 12mm x 12m,0075,43
00596,05012340008905,0154,Speedfit stem elbow 10mm,0115,28
00599,05012340009042,0182,Brass gate valve 22mm,0115,19
00602,05012340009179,0184,Flux paste 100g,0075,11
00605,05012340009316,0034,"Pipe clip 15mm, bag of 50",0115,1
00608,05012340009453,0136,Isolating valve 15mm,0240,42
00611,05012340009590,0125,Waste trap bottle 40mm,0240,4
00614,05012340009727,0127,Compression stop end 28mm,0240,13
00617,05012340009864,0236,Copper pipe 22mm x 3m,0075,42
00620,05012340010001,0114,Reducing coupler 22-15mm,0240,48
00623,05012340010138,0094,Backnut 1/2 inch,0080,21
00626,05012340010275,0024,Tap connector 15mm x 1/2,0075,5
00629,05012340010412,0022,Radiator valve angled 15mm,0240,27
00632,05012340010549,0138,Chrome pipe cover 15mm,0075,45
00635,05012340010686,0019,Solvent cement 250ml,0240,14
00638,05012340010823,0016,Overflow bend 21.5mm,0080,19
00641,05012340010960,0034,Copper pipe 15mm x 3m,0080,7
00644,05012340011097,0216,Compression elbow 22mm,0115,23
00647,05012340011234,0239,Push-fit tee 15mm,0080,28
00650,05012340011371,0131,Solder ring coupler 28mm,0080,25
00653,05012340011508,0227,PTFE tape 12mm x 12m,0080,23
00656,05012340011645,0098,Speedfit stem elbow 10mm,0075,12
00659,05012340011782,0152,Brass gate valve 22mm,0075,5
00662,05012340011919,0178,Flux paste 100g,0075,11
00665,05012340012056,0104,"Pipe clip 15mm, bag of 50",0240,29
00668,05012340012193,0146,Isolating valve 15mm,0115,19
00671,05012340012330,0182,Waste trap bottle 40mm,0240,16
00674,05012340012467,0171,Compression stop end 28mm,0075,7
00677,05012340012604,0126,Copper pipe 22mm x 3m,0115,6
00680,05012340012741,0221,Reducing coupler 22-15mm,0240,7
00683,05012340012878,0216,Backnut 1/2 inch,0080,34
00686,05012340013015,0137,Tap connector 15mm x 1/2,0240,46
00689,05012340013152,0107,Radiator valve angled 15mm,0075,16
00692,05012340013289,0172,Chrome pipe cover 15mm,0115,3
00695,05012340013426,0173,Solvent cement 250ml,0075,21
00698,05012340013563,0182,Overflow bend 21.5mm,0080,46
00701,05012340013700,0178,Copper pipe 15mm x 3m,0075,5
00704,05012340013837,0041,Compression elbow 22mm,0075,45
00707,05012340013974,0061,Push-fit tee 15mm,0115,15
00710,05012340014111,0078,Solder ring coupler 28mm,0115,36
00713,05012340014248,0147,PTFE tape 12mm x 12m,0240,27
00716,05012340014385,0194,Speedfit stem elbow 10mm,0115,19
00719,05012340014522,0069,Brass gate valve 22mm,0240,6
00722,05012340014659,0132,Flux paste 100g,0080,33
00725,05012340014796,0127,"Pipe clip 15mm, bag of 50",0075,32
00728,05012340014933,0068,Isolating valve 15mm,0080,6
00731,05012340015070,0213,Waste trap bottle 40mm,0080,6
00734,05012340015207,0137,Compression stop end 28mm,0080,10
00737,05012340015344,0016,Copper pipe 22mm x 3m,0075,19
00740,05012340015481,0220,Reducing coupler 22-15mm,0080,44
00743,05012340015618,0083,Backnut 1/2 inch,0080,30
00746,05012340015755,0002,Tap connector 15mm x 1/2,0080,27
00749,05012340015892,0191,Radiator valve angled 15mm,0115,30
00752,05012340016029,0230,Chrome pipe cover 15mm,0115,9
00755,05012340016166,0022,Solvent cement 250ml,0075,11
00758,05012340016303,0205,Overflow bend 21.5mm,0075,7
00761,05012340016440,0016,Copper pipe 15mm x 3m,0240,36
00764,05012340016577,0006,Compression elbow 22mm,0080,2
00767,05012340016714,0055,Push-fit tee 15mm,0240,23
00770,05012340016851,0002,Solder ring coupler 28mm,0075,2
00773,05012340016988,0091,PTFE tape 12mm x 12m,0115,2
00776,05012340017125,0209,Speedfit stem elbow 10mm,0240,13
00779,05012340017262,0084,Brass gate valve 22mm,0075,8
00782,05012340017399,0008,Flux paste 100g,0080,37
00785,05012340017536,0186,"Pipe clip 15mm, bag of 50",0080,41
00788,05012340017673,0113,Isolating valve 15mm,0080,30
00791,05012340017810,0157,Waste trap bottle 40mm,0115,20
00794,05012340017947,0169,Compression stop end 28mm,0080,20
00797,05012340018084,0102,Copper pipe 22mm x 3m,0240,15
00800,05012340018221,0153,Reducing coupler 22-15mm,0075,31
00803,05012340018358,0031,Backnut 1/2 inch,0115,11
00806,05012340018495,0194,Tap connector 15mm x 1/2,0115,10
00809,05012340018632,0231,Radiator valve angled 15mm,0080,18
00812,05012340018769,0051,Chrome pipe cover 15mm,0075,42
00815,05012340018906,0032,Solvent cement 250ml,0115,41
00818,05012340019043,0212,Overflow bend 21.5mm,0075,44
00821,05012340019180,0096,Copper pipe 15mm x 3m,0115,18
00824,05012340019317,0085,Compression elbow 22mm,0075,2
00827,05012340019454,0063,Push-fit tee 15mm,0075,15
00830,05012340019591,0147,Solder ring coupler 28mm,0080,13
00833,05012340019728,0126,PTFE tape 12mm x 12m,0115,37
00836,05012340019865,0224,Speedfit stem elbow 10mm,0075,22
00839,05012340020002,0029,Brass gate valve 22mm,0115,16
00842,05012340020139,0038,Flux paste 100g,0115,13
00845,05012340020276,0039,"Pipe clip 15mm, bag of 50",0115,10
00848,05012340020413,0058,Isolating valve 15mm,0075,2
00851,05012340020550,0022,Waste trap bottle 40mm,0075,16
00854,05012340020687,0125,Compression stop end 28mm,0080,47
00857,05012340020824,0173,Copper pipe 22mm x 3m,0115,14
00860,05012340020961,0161,Reducing coupler 22-15mm,0080,43
00863,05012340021098,0094,Backnut 1/2 inch,0240,9
00866,05012340021235,0059,Tap connector 15mm x 1/2,0240,15
00869,05012340021372,0017,Radiator valve angled 15mm,0240,42
00872,05012340021509,0062,Chrome pipe cover 15mm,0075,8
00875,05012340021646,0118,Solvent cement 250ml,0075,33
00878,05012340021783,0170,Overflow bend 21.5mm,0115,26
00881,05012340021920,0051,Copper pipe 15mm x 3m,0240,46
00884,05012340022057,0157,Compression elbow 22mm,0075,16
00887,05012340022194,0075,Push-fit tee 15mm,0115,39
