Call Ref,Vessel,IMO,Berth,ETA,Status
PC-2026-0413,Kestrel Bay,IMO 9074729,Quay 3,2026-04-02,Expected
PC-2026-0414,Aldervik,9182741,Quay 1,2026-04-02,Along side
PC-2026-0415,Marisol Trader,9331556,Quay 4,2026-04-03,Expected
PC-2026-0415,Marisol Trader,9331556,Quay 4,2026-04-03,Expected
PC-2026-0417,Ondine Fell,9127790,Quay 5,2026-03-31,Expected
PC-2026-0418,Fjordline Ember,9094316,Quay 4,2026-04-01,Expected
PC-2026-0419,Talisker Sound,9459055,Quay 5,2026-04-05,Berthed
PC-2026-0420,Castellan Reach,9425160,Quay 2,2026-04-01,Expected
PC-2026-0421,Windrose Marne,9571104,Quay 5,2026-04-03,Expected
PC-2026-0422,Talisker Sound,9122219,Quay 2,2026-04-04,Expected
PC-2026-0423,Halvard Sund,9537750,Quay 4,2026-03-30,Expected
PC-2026-0424,Auravik,9450712,Quay 2,2026-04-01,Expected
PC-2026-0425,Kestrel Bay,9121195,Quay 4,2026-03-30,Expected
PC-2026-0426,Talisker Sound,9416795,Quay 1,2026-03-31,Berthed
PC-2026-0427,Pentland Carrier,9184297,Quay 1,2026-04-04,Berthed
PC-2026-0428,Castellan Reach,9424043,Quay 1,2026-03-31,Berthed
PC-2026-0429,Ossian Bay,9131132,Quay 3,2026-03-31,Expected
PC-2026-0430,Pentland Carrier,9596873,Quay 1,2026-04-03,Expected
PC-2026-0431,Marisol Trader,9579127,Quay 3,2026-04-03,Departed
PC-2026-0432,Fjordline Ember,9506293,Quay 1,2026-03-30,Berthed
PC-2026-0433,Ossian Bay,9352648,Quay 4,2026-04-03,Expected
PC-2026-0434,Pentland Carrier,9134132,Quay 4,2026-03-31,Departed
PC-2026-0435,Merrow Light,9053350,Quay 1,2026-04-05,Expected
PC-2026-0436,Nordkapp Rose,9037878,Quay 2,2026-03-30,Berthed
PC-2026-0437,Pentland Carrier,9152887,Quay 3,2026-04-05,Expected
PC-2026-0438,Corvid Star,9320467,Quay 1,2026-04-02,Expected
PC-2026-0439,Ossian Bay,9271011,Quay 1,2026-03-30,Berthed
PC-2026-0440,Nordkapp Rose,9297765,Quay 3,2026-03-30,Berthed
PC-2026-0441,Talisker Sound,9147569,Quay 4,2026-04-02,Expected
PC-2026-0442,Thorne Meridian,9276740,Quay 3,2026-04-02,Expected
PC-2026-0443,Marisol Trader,9090612,Quay 5,2026-04-01,Berthed
PC-2026-0444,Fjordline Ember,9460616,Quay 1,2026-04-03,Berthed
PC-2026-0445,Halvard Sund,9592861,Quay 1,2026-04-04,Expected
PC-2026-0446,Fjordline Ember,9484114,Quay 2,2026-04-02,Berthed
PC-2026-0447,Halvard Sund,9536012,Quay 2,2026-03-30,Expected
PC-2026-0448,Castellan Reach,9414531,Quay 5,2026-03-31,Expected
PC-2026-0449,Windrose Marne,9160194,Quay 1,2026-03-31,Expected
PC-2026-0450,Kestrel Bay,9542308,Quay 2,2026-04-05,Expected
PC-2026-0451,Aldervik,9139850,Quay 5,2026-04-03,Expected
PC-2026-0452,Nordkapp Rose,9269136,Quay 2,2026-04-01,Berthed
PC-2026-0453,Ligurian Dawn,9285538,Quay 2,2026-04-04,Expected
PC-2026-0454,Ligurian Dawn,9515609,Quay 2,2026-04-03,Expected
PC-2026-0455,Castellan Reach,9179046,Quay 5,2026-03-31,Expected
PC-2026-0456,Kestrel Bay,9573772,Quay 2,2026-04-03,Berthed
PC-2026-0457,Talisker Sound,9125444,Quay 5,2026-04-01,Expected
PC-2026-0458,Brackwater,9188300,Quay 1,2026-03-30,Expected
PC-2026-0459,Auravik,9467910,Quay 5,2026-03-31,Berthed
PC-2026-0460,Talisker Sound,9249747,Quay 3,2026-04-05,Berthed
PC-2026-0461,Merrow Light,9139318,Quay 1,2026-04-04,Berthed
PC-2026-0462,Pentland Carrier,9059732,Quay 3,2026-04-02,Expected
PC-2026-0463,Corvid Star,9205267,Quay 3,2026-04-03,Expected
PC-2026-0464,Windrose Marne,9460833,Quay 5,2026-03-30,Berthed
PC-2026-0465,Thorne Meridian,9186353,Quay 3,2026-03-30,Expected
PC-2026-0466,Castellan Reach,9298752,Quay 2,2026-04-03,Expected
PC-2026-0467,Kestrel Bay,9184753,Quay 3,2026-03-30,Expected
PC-2026-0468,Corvid Star,9083937,Quay 5,2026-04-04,Expected
PC-2026-0469,Sable Point,9448023,Quay 2,2026-04-05,Expected
