Supplier Number,Company Name,Display Name,SIM Status,Organization Type,Federal Tax ID,DUNS,Country of Operation,Preferred Currency,Payment Term,Invoice Matching Level,Minority Indicator,Minority Type,Primary Contact Email,Pay Group,Risk Tier,Insurance Expiry,Plants Served
V-100001,Lansdowne Machining LLC,Lansdowne Machining,active,Corporation,456453024,239017355,,Euro,Net 45,Two-way,Yes,SDVOSB,lansdowne.machining@lansdownemac.com,,Tier 1,2027-10-14,"PLT-12, PLT-07"
V-100002,Ashworth Fasteners Corp,Ashworth Fasteners,active,LLC,851303235,578016377,Canada,USD,Net 45,2 way,false,,ashworth.fasteners@ashworthfas.com,US-AP,1,2027-04-08,PLT-09 / PLT-03 / PLT-02
V-100003,Hollingworth Fabrication GmbH,Hollingworth Fabrication,active,Limited Liability Company,50-7524466,858240978,US,CAD,Net 45,2 way,F,,hollingworth.fabrication@hollingworthfab.com,US-AP,1,2027-08-16,PLT-02;PLT-11;PLT-12;PLT-07
V-100004,Grimsby Weldments Ltd,Grimsby Weldments,Inactive,Non-Profit,407976610,083578765,USA,USD,2/10 Net 30,None,0,,grimsby.weldments@grimsbywel.com,EU-AP,Tier 3,,PLT-02;PLT-04
V-100005,Netherfield Packaging PLC,,active,LLC,831584039,630705588,United States,USD,Net 30,None,FALSE,,netherfield.packaging@netherfieldpac.com,US-AP,2,01/16/2027,PLT-08;PLT-04;PLT-05;PLT-09
V-100006,Eastgate Fabrication Corp,Eastgate Fabrication,active,Sole Proprietor,731442852,441122910,United States,EUR,Net 90,3-way,,,eastgate.fabrication@eastgatefab.com,UK-AP,1,2028-11-11,
V-100007,Castleford Pneumatics Ltd.,Castleford Pneumatics,Active,Limited Liability Company,10-1210609,341341271,CA,USD,Net30,3-way,N,,castleford.pneumatics@castlefordpne.com,US-AP,Tier 1,2028-05-20,PLT-08
V-100008,Rushcliffe Machining Inc,,active,Corporation,79-4549691,684743169,CA,USD,Net 60,2-way,YES,MBE,rushcliffe.machining@rushcliffemac.com,EU-AP,Tier 1,2028-12-13,PLT-12;PLT-07;PLT-05
V-100009,Ashworth Fasteners Corp,,Inactive,,829977177,,US,,Net 30,2 way,FALSE,,ap@ashworthfas.com; ashworth.fasteners@ashworthfas.com,,2,2027-09-11,PLT-09;PLT-01;PLT-12
V-100010,Marchmont Electrical Co,,active,LLC,03-6470208,38821269,Mexico,USD,Net 60,2 Way Match,FALSE,,marchmont.electrical@marchmontele.com,MX-AP,Tier 2,06/19/2027,PLT-02;PLT-09
V-100011,Saltburn Lubricants Inc,,active,Corporation,53-6805785,226547539,United Kingdom,USD,Net 30,2 way,F,,saltburn.lubricants@saltburnlub.com,US-AP,3,,"PLT-09, PLT-05"
V-100012,Hollingworth Extrusions PLC,Hollingworth Extrusions,On Hold,,586222993,199705378,US,USD,Net30,3 Way Match,False,,hollingworth.extrusions@hollingworthext.com,US-AP,Tier 2,05/20/2028,PLT-05
V-100013,Netherfield Springs GmbH,,active,Sole Prop,10-4414017,313708677,DE,USD,COD,2 way,true,SDVOSB,,UK-AP,3,,"PLT-09, PLT-08, PLT-06"
V-100014,Jarrow Calibration Ltd,Jarrow Calibration,On Hold,,,16-333-7650,CA,MXN,Net 30,Three way direct,false,,jarrow.calibration@jarrowcal.com,US-AP,1,2027-05-19,PLT-03;PLT-05
V-100015,Denholm Bearings Corp,Denholm Bearings,A,S-Corp,103082552,597677564,DE,CAD,Net 45,,0,,denholm.bearings@denholmbea.com,CA-AP,High,2027-02-09,PLT-01;PLT-12
V-100016,Quarrington Tooling Inc.,Quarrington Tooling,Inactive,Partnership,19-4255859,79368505,DE,usd,Net 60,2-way,No,,quarrington.tooling@quarringtontoo.com,US-AP,Tier 2,2028-02-20,PLT-02
V-100017,Lansdowne Plating S.A. de C.V.,,draft,S-Corp,82-6325594,467868170,GB,USD,Net 60,2-way,True,MBE,lansdowne.plating@lansdownepla.com,,Tier 2,01/28/2026,
V-100018,Netherfield Pneumatics Ltd,,Active,Sole Proprietor,,34988123,US,USD,Net 30,None,No,,netherfield.pneumatics@netherfieldpne.com,,Low,2028-04-10,PLT-02
V-100019,Brackenridge Castings GmbH,,active,Non-Profit,049747494,311921334,USA,USD,Net 30,3 way,N,,brackenridge.castings@brackenridgecas.com,,3,2028-11-16,"PLT-09, PLT-05, PLT-04"
V-100020,Kettleby Machining S.A. de C.V.,Kettleby Machining,Active,S-Corp,68-2012776,988995097,,EUR,30 days,3-way,Yes,VOSB,kettleby.machining@kettlebymac.com,EU-AP,,2028-11-05,PLT-07
V-100021,Thirlmere Hydraulics PLC,Thirlmere Hydraulics,ACTIVE,Corporation,644854893,,US,,Net 15,2-way,No,,thirlmere.hydraulics@thirlmerehyd.com,EU-AP,Low,2026-09-04,
V-100022,Saltburn Gasket GmbH,,A,,698433731,258080784,US,USD,Net 30,3-way,False,,saltburn.gasket.saltburngas.com,MX-AP,3,09/27/2028,PLT-02
V-100023,Ingleby Forgings Inc,,Active,Limited Liability Company,242799638,15-184-8574,CA,,Net 45,2 way,F,,ingleby.forgings.inglebyfor.com,US-AP,Low,2026-06-05,"PLT-05, PLT-02"
V-100024,Saltburn Valves Inc,,active,LLC,832078595,,DE,MXN,NET30,3-way,False,,,,Tier 2,12/27/2026,
V-100025,Hollingworth Fabrication Ltd.,Hollingworth Fabrication,active,Corporation,955843570,,United States,USD,Net 30,2-way,False,,hollingworth.fabrication.hollingworthfab.com,MX-AP,Tier 3,11/03/2026,PLT-01
V-100026,Pemberton Castings S.A. de C.V.,,Active,,44-3827992,485942967,US,USD,Net 60,2-way,false,,pemberton.castings@pembertoncas.com,US-AP,Tier 2,2027-08-22,PLT-07
V-100027,Denholm Forgings Inc,Denholm Forgings,Inactive,,982603562,804903178,USA,USD,Due on receipt,3 way,,,denholm.forgings.denholmfor.com,MX-AP,1,01/10/2028,
V-100028,Verwood Pneumatics Corp,Verwood Pneumatics,active,LLC,30-6360906,,US,USD,N30,3-way,yes,MBE,verwood.pneumatics@verwoodpne.com,US-AP,2,2028-12-14,PLT-12
V-100029,Farndale Plating Inc.,,active,LLC,01-6302484,145185156,CA,GBP,Net 90,2 way,false,,ap@farndalepla.com; farndale.plating@farndalepla.com,US-AP,1,2028-05-19,PLT-03
V-100030,Eastgate Bearings Ltd,,Active,Corporation,22-3486492,407711292,MX,EUR,2/10 Net 30,Two-way,N,,eastgate.bearings@eastgatebea.com,,High,2028-10-02,PLT-11;PLT-04;PLT-05
V-100031,Ashworth Foundry Corp,Ashworth Foundry,Active,S-Corp,38-3386951,703093457,DE,USD,Net 30,3-way,1,WBE,ashworth.foundry@ashworthfou.com,CA-AP,1,2026-12-10,PLT-11
V-100032,Yarborough Coatings S.A. de C.V.,Yarborough Coatings,active,Corporation,13-6083631,780492931,Deutschland,CAD,Net 30,2-way,YES,SDVOSB,yarborough.coatings@yarboroughcoa.com,US-AP,,2028-03-16,PLT-12;PLT-01
V-100033,Verwood Logistics Inc.,,active,Corporation,41-3423662,469069861,USA,GBP,Immediate,,,,verwood.logistics@verwoodlog.com,US-AP,2,02/18/2028,PLT-11 / PLT-12 / PLT-09
V-100034,Lansdowne Coatings GmbH,Lansdowne Coatings,active,LLC,500710909,704724275,United States,EUR,NET30,2 way,false,,lansdowne.coatings@lansdownecoa.com,US-AP,Tier 2,2026-02-15,"PLT-02, PLT-03"
V-100035,Farndale Gasket Corp,Farndale Gasket,active,Partnership,209627400,774456705,United States,USD,Net 30,3-way,F,,farndale.gasket@farndalegas.com,MX-AP,,2026-11-01,PLT-04;PLT-09;PLT-03
V-100036,Denholm Seals Ltd.,Denholm Seals,active,Corporation,21-0976221,74221363,Canada,CAD,Due on receipt,3-way,false,,denholm.seals@denholmsea.com,US-AP,1,,PLT-07;PLT-09;PLT-10;PLT-03
V-100037,Culverton Foundry PLC,Culverton Foundry,Active,LLC,39-6252090,242464271,Germany,USD,COD,None,1,Minority Business Enterprise,,US-AP,Tier 2,2026-07-19,PLT-06
V-100038,Pemberton Gasket Co,,draft,Sole Proprietor,77-7753370,163301092,GB,EUR,Net 30,2-way,Yes,Woman-Owned Small Business,pemberton.gasket@pembertongas.com,MX-AP,3,03/16/2026,PLT-12
V-100039,Ullswater Gasket Ltd,Ullswater Gasket,A,Limited Liability Company,24-3816465,948725052,United States,usd,Net30,none,1,DBE,ap@ullswatergas.com; ullswater.gasket@ullswatergas.com,UK-AP,Tier 3,2027-10-08,PLT-10;PLT-08;PLT-01
V-100040,Wolverton Pneumatics Inc.,Wolverton Pneumatics,inactive,Corporation,226551435,761907598,Mexico,USD,NET30,2-way,0,,ap@wolvertonpne.com; wolverton.pneumatics@wolvertonpne.com,MX-AP,2,07/15/2027,"PLT-09, PLT-01, PLT-05"
V-100041,Fairweather Tooling Inc.,Fairweather Tooling,Active,Sole Proprietor,284259369,581470559,DE,EUR,30 days,2 way,False,,ap@fairweathertoo.com; fairweather.tooling@fairweathertoo.com,US-AP,,2028-05-16,PLT-03;PLT-07
V-100042,Ingleby Gasket Ltd,Ingleby Gasket,A,Non-Profit,95-2843898,877201806,MX,EUR,Immediate,2-way,N,,ingleby.gasket@inglebygas.com,EU-AP,Tier 1,,PLT-08
V-100043,Elmswell Castings Inc,,active,,19-3923389,667876716,US,US Dollar,Net 45,2-way,False,,ap@elmswellcas.com; elmswell.castings@elmswellcas.com,US-AP,Low,12/14/2026,PLT-09
V-100044,Oakhurst Packaging Co,,active,Corporation,067368737,,US,USD,Net 30,3-way,FALSE,,oakhurst.packaging@oakhurstpac.com,US-AP,3,,PLT-11;PLT-01;PLT-03
V-100045,Kettleby Fasteners Co,,Draft,Corporation,04-7214735,805952508,US,CAD,Net 30,2-way,0,,kettleby.fasteners@kettlebyfas.com,CA-AP,Medium,04/03/2028,"PLT-05, PLT-07, PLT-11"
V-100046,Wolverton Coatings PLC,Wolverton Coatings,active,Corporation,,631236158,USA,GBP,Net 30,3-way,F,,wolverton.coatings@wolvertoncoa.com,MX-AP,Tier 2,,PLT-10;PLT-05;PLT-06
V-100047,Ballantyne Hydraulics S.A. de C.V.,,ACTIVE,Non-Profit,93-8254558,406784628,Germany,USD,Net 60,3-way,T,DBE,ballantyne.hydraulics@ballantynehyd.com,MX-AP,Tier 1,2028-08-18,"PLT-09, PLT-02, PLT-11"
V-100048,Thirlmere Weldments Corp,,active,LLC,,238289481,,usd,30 days,,F,,thirlmere.weldments@thirlmerewel.com,EU-AP,3,06/19/2028,
V-100049,Brackenridge Coatings GmbH,Brackenridge Coatings,inactive,Partnership,,841841281,USA,CAD,NET30,Three way direct,No,,brackenridge.coatings@brackenridgecoa.com,US-AP,,07/10/2028,
V-100050,Denholm Plating LLC,Denholm Plating,Pending,Partnership,99-3339688,908635486,GB,usd,,3 way,0,,denholm.plating@denholmpla.com,US-AP,1,,PLT-11
V-100051,Ullswater Packaging Co,Ullswater Packaging,Inactive,,87-1075661,243735893,GB,MXN,Net 60,Two-way,false,,ullswater.packaging@ullswaterpac.com,UK-AP,High,02/26/2026,
