Item code,Site,On hand,Allocated,Reorder at,Unit
WP-FLR-T55,Wistow Mill,480,120,200,each
WP-FLR-T55,Ryburn Depot,96,24,60,each
WP-FLR-T55,Fenton Cold Store,0,0,40,each
WP-FLR-WHM,Wistow Mill,212.5,45,100,each
WP-BTR-25,Fenton Cold Store,12.5,4,10,kg
WP-YST-FRS,Fenton Cold Store,(4),0,20,kg
WP-YST-FRS,Ryburn Depot,30,6,20,kg
WP-SGR-CST,Wistow Mill,640,0,250,each
WP-SGR-CST,,75,0,250,each
WP-CHC-70,Ryburn Depot,144,36,60,each
WP-CHC-70,Ryburn Depot,150,36,60,each
WP-CHC-70,Wistow Mill,60,12,60,each
WP-CHC-70,Fenton,26,0,60,each
