Level,Find,Part Number,Rev,Description,Qty,UOM,Type,Ref Des,Eff From,Eff To
1,,WF-1000,B,Kestrel 400 Flow Meter,1,EA,Item,,07/17/2024,
2,10,  2101-790,02,Bushing Bronze 10mm,2,ea,Item,,2023-11-15,
2,20,  SA-1044,02,Rotor Assembly,1,,Item,,2026-02-06,
3,10,    0712-330,B,O-Ring 24mm Viton,1,PC,,,,
3,20,    SA-1046,C,Valve Block,1,ea,item,,2025-06-25,
4,10,      2108-880,D,Foam Tape 12mm,4.296,MM,Pegged,,2026-02-20,
4,20,      SA-1047,02,Filter Cartridge,4,PCS,Item,,08/06/2026,
5,10,        2115-917,01,Grommet 8mm,12,EA,Item,,2023-06-13,
5,20,        2117-335,-,Epoxy Adhesive 2-Part,0,,Pegged supply,,2026-02-25,
5,30,        EC-51008,,Capacitor 100nF 50V,4,Ea,Item,"R1, R2, R3, R4",2024-07-21,2025-07-21
5,40,        2120-569,B,Sheet Aluminium 1.5mm,1.615,L,Item,,2026-02-01,
5,50,        2127-791,01,Heat Shrink 6mm,1,PC,vendor,,2026-02-18,
4,30,      EC-51014,C,Inductor 4u7,1,ea,item,U5,2024-08-22,2025-08-22
4,40,      2131-004,-,Silicone Grease,AR,G,Purchased,,2025-04-10,2026-04-10
4,50,      2136-247,,O-Ring 24mm Viton,1,,Item,,2024-04-04,
4,60,      SA-1049,2,Pump Head,1,PCS,item,,11/07/2025,
5,10,        2141-520,1,O-Ring 24mm Viton,3,EA,,,07/03/2024,
5,20,        EC-51021,D,Inductor 4u7,1,pcs,Pegged supply,C6,04/05/2025,
5,30,        2144-855,01,Bushing Bronze 10mm,1,Each,Purchased,,,
5,40,        2151-289,B,Cable Tie 100mm,1,EA,Pegged,,2026-10-12,
4,70,      2156-038,A,Nut M6 Nyloc,4,EA,Item,,,
3,30,    2163-713,B,Tube PTFE 4x6mm,"1,095",KG,Item,,2026-12-05,
3,40,    EC-51028,01,Voltage Regulator 3V3,6,EA,Buy,"C7,C8,C9,C10,C11,C12",2026-06-12,2027-06-12
3,50,    2164-354,A,Cap Screw M4x12,1,pcs,Buy,,12/09/2024,
2,30,  2167-487,01,Gasket PTFE 40mm,8,EA,,,,
2,40,  2170-138,B,Terminal Block 4W,2,ea,Vendor,,2025-12-05,
2,50,  2173-291,A,Sheet Aluminium 1.5mm,2.387,ML,item,,03/27/2025,
2,60,  2180-236,,Epoxy Adhesive 2-Part,0,EA,Purchased,,2026-05-13,
2,70,  EC-51033,C,Diode Schottky 40V,6,EA,Item,R13-R18,05/22/2026,
2,80,  SA-1052,01,Filter Cartridge,1,PCS,Item,,2025-06-26,2026-06-26
3,10,    2182-933,01,Grommet 8mm,3,PCS,Vendor,,02/01/2024,02/01/2025
3,20,    2189-933,,Conformal Coating,0,EA,vendor,,2024-04-02,
3,30,    2191-682,1,Wire 0.75mm2 Red,2.538,L,Buy,,2024-10-17,
3,40,    2194-627,C,Tube PTFE 4x6mm,2.348,M,Buy,,2026-11-28,
