Site,Date sampled,Det.,Result,Method,Lab ref
WYE-114,04 Mar 2026,NO3-N,6.31,Ion chromatography,L-8841
WYE-114,04 Mar 2026,NO3-N,6.90,Ion chromatography,L-8902
WYE-118,04 Mar 2026,PO4-P,<0.05,Colorimetric,L-8843
WYE-118,05 Mar 2026,NH4-N,0.42 mg/l,Colorimetric,L-8850
LUG-207,05 Mar 2026,DO,9.8,Probe,
WYE-118,02 Mar 2026,PO4-P,0.041,Colorimetric,L-8849
WYE-118,02 Mar 2026,NH4-N,1.47,Colorimetric,L-8852
WYE-118,02 Mar 2026,DO,13.3,Probe,
WYE-121,02 Mar 2026,PO4-P,0.016,Colorimetric,L-8853
WYE-121,02 Mar 2026,NH4-N,0.70,Colorimetric,L-8855
WYE-126,02 Mar 2026,NO3-N,4.49,Ion chromatography,L-8861
WYE-126,02 Mar 2026,PO4-P,0.156,Colorimetric,L-8868
LUG-207,02 Mar 2026,NO3-N,2.09,Ion chromatography,L-8874
LUG-207,02 Mar 2026,PO4-P,0.123,Colorimetric,L-8879
LUG-207,02 Mar 2026,NH4-N,0.19,Colorimetric,L-8880
ARR-301,02 Mar 2026,NO3-N,3.24,Ion chromatography,L-8886
ARR-301,02 Mar 2026,DO,10.7,Probe,
ARR-305,02 Mar 2026,NO3-N,8.75,Ion chromatography,L-8894
ARR-305,02 Mar 2026,PO4-P,0.072,Colorimetric,L-8897
ARR-305,02 Mar 2026,NH4-N,1.03,Colorimetric,L-8901
DEE-402,02 Mar 2026,PO4-P,0.423,Colorimetric,L-8905
DEE-402,02 Mar 2026,DO,7.2,Probe,
DEE-407,02 Mar 2026,NO3-N,7.77,Ion chromatography,L-8908
DEE-407,02 Mar 2026,PO4-P,0.337,Colorimetric,L-8911
TAF-511,02 Mar 2026,NO3-N,2.54,Ion chromatography,L-8920
TAF-511,02 Mar 2026,NH4-N,0.56,Colorimetric,L-8929
TAF-511,02 Mar 2026,DO,10.6,Probe,
WYE-114,03 Mar 2026,PO4-P,0.069,Colorimetric,L-8935
WYE-118,03 Mar 2026,NO3-N,9.38,Ion chromatography,L-8940
WYE-118,03 Mar 2026,PO4-P,0.292,Colorimetric,L-8945
WYE-118,03 Mar 2026,NH4-N,0.32,Colorimetric,L-8947
WYE-121,03 Mar 2026,NH4-N,0.22,Colorimetric,L-8950
WYE-121,03 Mar 2026,DO,9.8,Probe,
WYE-126,03 Mar 2026,NO3-N,6.67,Ion chromatography,L-8954
WYE-126,03 Mar 2026,DO,9.0,Probe,
LUG-203,03 Mar 2026,NH4-N,0.22,Colorimetric,L-8957
LUG-203,03 Mar 2026,DO,7.6,Probe,
LUG-207,03 Mar 2026,NO3-N,4.96,Ion chromatography,L-8963
LUG-212,03 Mar 2026,NO3-N,7.12,Ion chromatography,L-8966
LUG-212,03 Mar 2026,NH4-N,1.27,Colorimetric,L-8975
ARR-301,03 Mar 2026,NO3-N,3.51,Ion chromatography,L-8981
ARR-301,03 Mar 2026,PO4-P,0.047,Colorimetric,L-8989
ARR-305,03 Mar 2026,NO3-N,3.88,Ion chromatography,L-8996
ARR-305,03 Mar 2026,NH4-N,0.58,Colorimetric,L-9001
ARR-305,03 Mar 2026,DO,8.0,Probe,
DEE-402,03 Mar 2026,NO3-N,1.06,Ion chromatography,L-9005
DEE-402,03 Mar 2026,DO,10.1,Probe,
DEE-407,03 Mar 2026,NO3-N,8.85,Ion chromatography,L-9010
DEE-407,03 Mar 2026,PO4-P,0.247,Colorimetric,L-9019
DEE-407,03 Mar 2026,NH4-N,0.67,Colorimetric,L-9027
TAF-511,03 Mar 2026,NO3-N,9.62,Ion chromatography,L-9030
TAF-511,03 Mar 2026,PO4-P,0.141,Colorimetric,L-9039
TAF-511,03 Mar 2026,NH4-N,0.89,Colorimetric,L-9048
TAF-511,03 Mar 2026,DO,10.4,Probe,
WYE-118,04 Mar 2026,NH4-N,1.05,Colorimetric,L-9054
WYE-121,04 Mar 2026,NO3-N,2.33,Ion chromatography,L-9060
WYE-121,04 Mar 2026,PO4-P,0.056,Colorimetric,L-9064
WYE-121,04 Mar 2026,DO,7.7,Probe,
WYE-126,04 Mar 2026,NH4-N,1.19,Colorimetric,L-9071
WYE-126,04 Mar 2026,DO,8.8,Probe,
LUG-203,04 Mar 2026,NO3-N,1.14,Ion chromatography,L-9078
LUG-203,04 Mar 2026,PO4-P,0.213,Colorimetric,L-9081
LUG-203,04 Mar 2026,DO,11.0,Probe,
LUG-207,04 Mar 2026,DO,7.0,Probe,
LUG-212,04 Mar 2026,NO3-N,2.35,Ion chromatography,L-9086
LUG-212,04 Mar 2026,NH4-N,1.19,Colorimetric,L-9089
ARR-301,04 Mar 2026,NH4-N,1.34,Colorimetric,L-9098
ARR-301,04 Mar 2026,DO,8.2,Probe,
ARR-305,04 Mar 2026,NO3-N,4.64,Ion chromatography,L-9106
ARR-305,04 Mar 2026,NH4-N,0.41,Colorimetric,L-9109
ARR-305,04 Mar 2026,DO,10.2,Probe,
DEE-402,04 Mar 2026,NO3-N,3.36,Ion chromatography,L-9110
DEE-402,04 Mar 2026,NH4-N,1.42,Colorimetric,L-9114
TAF-511,04 Mar 2026,NO3-N,6.01,Ion chromatography,L-9115
TAF-511,04 Mar 2026,NH4-N,0.96,Colorimetric,L-9122
TAF-511,04 Mar 2026,DO,8.3,Probe,
WYE-114,05 Mar 2026,PO4-P,0.105,Colorimetric,L-9128
WYE-118,05 Mar 2026,NO3-N,10.59,Ion chromatography,L-9137
WYE-118,05 Mar 2026,PO4-P,0.417,Colorimetric,L-9139
WYE-118,05 Mar 2026,DO,11.1,Probe,
WYE-121,05 Mar 2026,NO3-N,6.80,Ion chromatography,L-9147
WYE-121,05 Mar 2026,NH4-N,0.78,Colorimetric,L-9151
WYE-121,05 Mar 2026,DO,10.3,Probe,
WYE-126,05 Mar 2026,NO3-N,8.00,Ion chromatography,L-9157
WYE-126,05 Mar 2026,NH4-N,1.13,Colorimetric,L-9166
LUG-203,05 Mar 2026,NO3-N,6.78,Ion chromatography,L-9172
LUG-203,05 Mar 2026,PO4-P,0.053,Colorimetric,L-9179
LUG-203,05 Mar 2026,NH4-N,0.60,Colorimetric,L-9184
LUG-207,05 Mar 2026,NO3-N,8.62,Ion chromatography,L-9189
LUG-207,05 Mar 2026,PO4-P,0.066,Colorimetric,L-9193
ARR-301,05 Mar 2026,NO3-N,11.57,Ion chromatography,L-9200
ARR-301,05 Mar 2026,PO4-P,0.041,Colorimetric,L-9204
ARR-305,05 Mar 2026,NH4-N,0.56,Colorimetric,L-9213
ARR-305,05 Mar 2026,DO,8.2,Probe,
DEE-402,05 Mar 2026,NO3-N,0.73,Ion chromatography,L-9220
DEE-402,05 Mar 2026,PO4-P,0.226,Colorimetric,L-9224
DEE-402,05 Mar 2026,DO,8.3,Probe,
DEE-407,05 Mar 2026,PO4-P,0.101,Colorimetric,L-9233
TAF-511,05 Mar 2026,NO3-N,7.06,Ion chromatography,L-9239
TAF-511,05 Mar 2026,PO4-P,0.431,Colorimetric,L-9243
WYE-118,06 Mar 2026,NO3-N,7.97,Ion chromatography,L-9245
WYE-118,06 Mar 2026,PO4-P,0.154,Colorimetric,L-9250
WYE-118,06 Mar 2026,NH4-N,1.44,Colorimetric,L-9255
WYE-121,06 Mar 2026,PO4-P,0.434,Colorimetric,L-9260
LUG-203,06 Mar 2026,NH4-N,1.45,Colorimetric,L-9262
LUG-203,06 Mar 2026,DO,9.9,Probe,
LUG-207,06 Mar 2026,NH4-N,1.34,Colorimetric,L-9263
LUG-212,06 Mar 2026,NO3-N,6.43,Ion chromatography,L-9271
LUG-212,06 Mar 2026,PO4-P,0.167,Colorimetric,L-9272
LUG-212,06 Mar 2026,NH4-N,0.24,Colorimetric,L-9280
LUG-212,06 Mar 2026,DO,12.9,Probe,
ARR-301,06 Mar 2026,PO4-P,0.177,Colorimetric,L-9286
ARR-301,06 Mar 2026,NH4-N,1.08,Colorimetric,L-9289
ARR-301,06 Mar 2026,DO,11.6,Probe,
ARR-305,06 Mar 2026,NO3-N,3.54,Ion chromatography,L-9291
ARR-305,06 Mar 2026,DO,7.3,Probe,
DEE-402,06 Mar 2026,NO3-N,6.82,Ion chromatography,L-9295
DEE-402,06 Mar 2026,NH4-N,1.40,Colorimetric,L-9298
DEE-407,06 Mar 2026,NO3-N,3.11,Ion chromatography,L-9300
WYE-114,09 Mar 2026,DO,12.1,Probe,
WYE-118,09 Mar 2026,NO3-N,6.78,Ion chromatography,L-9308
WYE-118,09 Mar 2026,PO4-P,0.430,Colorimetric,L-9314
WYE-118,09 Mar 2026,DO,6.6,Probe,
WYE-126,09 Mar 2026,PO4-P,0.328,Colorimetric,L-9322
WYE-126,09 Mar 2026,DO,8.9,Probe,
LUG-203,09 Mar 2026,NO3-N,4.51,Ion chromatography,L-9323
LUG-203,09 Mar 2026,DO,10.4,Probe,
